WARNING: ../pv2stall/pv2stall-sim.v:154: $readmemh: Standard inconsistency, following 1364-2005.
VCD info: dumpfile ../tests/build/vmh/parcv1-sw.vcd opened for output.
{ xxxxxxxx |        |        |        |        }
{ 00080178 |  lui   |  addiu |  lw    |  (-_-) }
{#0008017c |# ori   |  lui   |  addiu |  lw    }
{#0008017c |# ori   |  (-_-) |  lui   |  addiu }
{#0008017c |# ori   |  (-_-) |  (-_-) |  lui   }
{ 0008017c |  ori   |  (-_-) |  (-_-) |  (-_-) }
{#00080180 |# bne   |  ori   |  (-_-) |  (-_-) }
{#00080180 |# bne   |  (-_-) |  ori   |  (-_-) }
{#00080180 |# bne   |  (-_-) |  (-_-) |  ori   }
{ 00080180 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080184 |  lui   |  bne   |  (-_-) |  (-_-) }
{#00080188 |# ori   |  lui   |  bne   |  (-_-) }
{#00080188 |# ori   |  (-_-) |  lui   |  bne   }
{#00080188 |# ori   |  (-_-) |  (-_-) |  lui   }
{ 00080188 |  ori   |  (-_-) |  (-_-) |  (-_-) }
{ 0008018c |  lui   |  ori   |  (-_-) |  (-_-) }
{#00080190 |# addiu |  lui   |  ori   |  (-_-) }
{#00080190 |# addiu |  (-_-) |  lui   |  ori   }
{#00080190 |# addiu |  (-_-) |  (-_-) |  lui   }
{ 00080190 |  addiu |  (-_-) |  (-_-) |  (-_-) }
{#00080194 |# sw    |  addiu |  (-_-) |  (-_-) }
{#00080194 |# sw    |  (-_-) |  addiu |  (-_-) }
{#00080194 |# sw    |  (-_-) |  (-_-) |  addiu }
{ 00080194 |  sw    |  (-_-) |  (-_-) |  (-_-) }
{ 00080198 |  lw    |  sw    |  (-_-) |  (-_-) }
{ 0008019c |  addiu |  lw    |  sw    |  (-_-) }
{ 000801a0 |  lui   |  addiu |  lw    |  sw    }
{#000801a4 |# ori   |  lui   |  addiu |  lw    }
{#000801a4 |# ori   |  (-_-) |  lui   |  addiu }
{#000801a4 |# ori   |  (-_-) |  (-_-) |  lui   }
{ 000801a4 |  ori   |  (-_-) |  (-_-) |  (-_-) }
{#000801a8 |# bne   |  ori   |  (-_-) |  (-_-) }
{#000801a8 |# bne   |  (-_-) |  ori   |  (-_-) }
{#000801a8 |# bne   |  (-_-) |  (-_-) |  ori   }
{ 000801a8 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 000801ac |  lui   |  bne   |  (-_-) |  (-_-) }
{#000801b0 |# ori   |  lui   |  bne   |  (-_-) }
{#000801b0 |# ori   |  (-_-) |  lui   |  bne   }
{#000801b0 |# ori   |  (-_-) |  (-_-) |  lui   }
{ 000801b0 |  ori   |  (-_-) |  (-_-) |  (-_-) }
{ 000801b4 |  lui   |  ori   |  (-_-) |  (-_-) }
{#000801b8 |# addiu |  lui   |  ori   |  (-_-) }
{#000801b8 |# addiu |  (-_-) |  lui   |  ori   }
{#000801b8 |# addiu |  (-_-) |  (-_-) |  lui   }
{ 000801b8 |  addiu |  (-_-) |  (-_-) |  (-_-) }
{ 000801bc |  nop   |  addiu |  (-_-) |  (-_-) }
{#000801c0 |# sw    |  nop   |  addiu |  (-_-) }
{#000801c0 |# sw    |  (-_-) |  nop   |  addiu }
{ 000801c0 |  sw    |  (-_-) |  (-_-) |  nop   }
{ 000801c4 |  lw    |  sw    |  (-_-) |  (-_-) }
{ 000801c8 |  addiu |  lw    |  sw    |  (-_-) }
{ 000801cc |  lui   |  addiu |  lw    |  sw    }
{#000801d0 |# ori   |  lui   |  addiu |  lw    }
{#000801d0 |# ori   |  (-_-) |  lui   |  addiu }
{#000801d0 |# ori   |  (-_-) |  (-_-) |  lui   }
{ 000801d0 |  ori   |  (-_-) |  (-_-) |  (-_-) }
{#000801d4 |# bne   |  ori   |  (-_-) |  (-_-) }
{#000801d4 |# bne   |  (-_-) |  ori   |  (-_-) }
{#000801d4 |# bne   |  (-_-) |  (-_-) |  ori   }
{ 000801d4 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 000801d8 |  lui   |  bne   |  (-_-) |  (-_-) }
{#000801dc |# ori   |  lui   |  bne   |  (-_-) }
{#000801dc |# ori   |  (-_-) |  lui   |  bne   }
{#000801dc |# ori   |  (-_-) |  (-_-) |  lui   }
{ 000801dc |  ori   |  (-_-) |  (-_-) |  (-_-) }
{ 000801e0 |  lui   |  ori   |  (-_-) |  (-_-) }
{#000801e4 |# addiu |  lui   |  ori   |  (-_-) }
{#000801e4 |# addiu |  (-_-) |  lui   |  ori   }
{#000801e4 |# addiu |  (-_-) |  (-_-) |  lui   }
{ 000801e4 |  addiu |  (-_-) |  (-_-) |  (-_-) }
